ID,Nombre,Peso Original,Fecha Creacion,Suma Peso Renditions
1238939592001,"Preventa 2012 El Universal",3380092,2011-10-25,31409705.0
1239019902001,"jacoboborges",13231448,2011-10-25,75848993.0
1239064873001,"Encuesta Preventa 2012",8398445,2011-10-25,78533249.0
1241405445001,"50 años de venemoto",15115361,2011-10-26,53935194.0
1241539747001,"Aznar habló sobre latinoamérica",5510984,2011-10-26,11014513.0
1241552200001,"Para vestirse de León",5395873,2011-10-26,74289647.0
1241613973001,"Exitosa subasta a  beneficio de SenosAyuda",9330770,2011-10-26,32904525.0
1241771340001,"Entrevistas Preventa El Universal 2012",23077743,2011-10-26,82052152.0
1241890299001,"Padre de Simoncelli dice que su hijo estaba muerto cuando llegó la ayuda",6593696,2011-10-26,13309179.0
1241890309001,"Chávez ofrece declaraciones tras reunión de Unasur",8783225,2011-10-26,84137098.0
1241961696001,"Segundo día de preventa de El Universal",10643508,2011-10-26,100769864.0
1244019620001,"El Universal en cada preventa nos sorprende",17809712,2011-10-27,62991006.0
1244098305001,"Mausoleo en honor a Néstor Kirchner",4603927,2011-10-27,9143668.0
1244442560001,"Libia después de Gadafi",5434819,2011-10-27,10935317.0
1244447101001,"Recorrido por las instalaciones del Festival Gourmet Internacional 2011",7563077,2011-10-27,71651855.0
1244583625001,"Inauguración del festival gorumet 2011",5464529,2011-10-27,50963574.0
1244615395001,"El Universal cerró su Preventa 2012",7796836,2011-10-27,74680236.0
1247329433001,"OTAN sale de Libia el próximo lunes",5710352,2011-10-28,11318284.0
1247755792001,"Degustar agua ",8073721,2011-10-29,76125849.0
1248577400001,"Expresidente Lula da Silva tiene cáncer en la laringe",2205532,2011-10-29,4372768.0
1248630074001,"Largas colas para ver el Caracas-Magallanes",3012209,2011-10-29,28256111.0
1248645256001,"Aceite de oliva",5414516,2011-10-29,51062517.0
1249936450001,"Cata de Té",5299126,2011-10-30,50361545.0
1250005841001,"Elecciones regionales en Colombia",5172401,2011-10-30,10361894.0
1250337337001,"Gustavo Petro nuevo alcalde de Bogotá",3956224,2011-10-31,7898805.0
1251402182001,"Ledezma retira su candidatura de las primarias",9967391,2011-10-31,94738379.0
1251564063001,"Habitante número 7.000 millones del mundo",5321827,2011-10-31,10571923.0
1251662227001,"Observadores de la UE supervisarán las elecciones en Nicaragua",4755547,2011-10-31,9586799.0
1251938025001,"Maickel Melamed se prepara para correr el maratón de Nueva York",5285218,2011-11-01,10582178.0
1253105204001,"Libia elige su primer ministro",3791771,2011-11-01,7565200.0
1253227500001,"Leopoldo López inscribió su candidatura a las primarias de la MUD",10793000,2011-11-01,36796638.0
1253241065001,"Bolsas del mundo se desploman",4247610,2011-11-01,8451633.0
1253298978001,"Primero Justicia se pronuncia ante decisión de la MUD",15916633,2011-11-01,93403380.0
1253305082001,"María Corina Machado se inscribe para las primarias de la MUD",12126810,2011-11-01,68443506.0
1253402941001,"Gobierno boliviano homenajea a Gadafi",4595564,2011-11-01,9189572.0
1253819381001,"Leopoldo y María Corina inscriben su candidatura para primarias de la MUD",5358165,2011-11-02,10665521.0
1254909254001,"Reunión de la comisión permanente de finanzas y desarrollo económico de la AN",12563664,2011-11-02,25741558.0
1254935475001,"Séptimo Concurso de Cocina Estampas",8216501,2011-11-02,77395215.0
1255061890001,"Discurso de Capriles en la MUD",14199463,2011-11-02,81184573.0
1255061905001,"Messi llegó a 200 goles",1316428,2011-11-02,2647749.0
1255111203001,"Capriles da su opinión ante desición de la MUD",3370073,2011-11-02,12027380.0
1255599358001,"Cuba abre paso a micronegocios privados",5435002,2011-11-03,10947020.0
1256827305001,"Gasol espera una solución rápida para la NBA",5994738,2011-11-03,11888156.0
1256949228001,"Pablo Pérez formalizó su candidatura",5759972,2011-11-03,13294535.0
1257024809001,"Pablo Medina se inscribe para las elecciones primarias",7666455,2011-11-03,27365054.0
1257024840001,"Lorenzo Mendoza habla de las dificultades que presentan las empresas privadas en la actualidad",13948898,2011-11-03,77914132.0
1257047109001,"Diego Arria inscribe su candidatura a las primarias",9185526,2011-11-03,80710458.0
1258583455001,"Astronautas regresan de marte",3112400,2011-11-04,46281567.0
1258679718001,"Mesa de la Unidad presenta balance de candidaturas",13719781,2011-11-04,123495948.0
1258832279001,"Ronaldo cambiaría su bota de oro por la Liga",4362119,2011-11-04,8736012.0
1258909798001,"Los actores de Crepúsculo inmortalizan sus huellas",3923352,2011-11-04,7831026.0
1259008836001,"Ministra Iris Varela llora por felicitación del presidente Chávez",4191795,2011-11-04,25017489.0
1259218275001,"Murió Alfonso Cano",5879651,2011-11-05,11755032.0
1259218306001,"Candidatos realizan denuncias antees de elecciones",4180038,2011-11-05,8441039.0
1260141045001,"Santos confirma la muerte de Cano",3416559,2011-11-05,6897688.0
1260163408001,"Pronuciamiento de los alcaldes sobre primarias",18284264,2011-11-05,42499214.0
1260383346001,"Chávez trotó con las tropas",2713567,2011-11-05,9681541.0
1260548331001,"Letting y Urbina ganaron la Carrera Nike",6299624,2011-11-06,59992096.0
1261551931001,"Ivian Sarcos es la nueva Miss Mundo",9167305,2011-11-06,81347388.0
1261551948001,"Griegos quieren un gobierno de unidad",5485962,2011-11-06,10930440.0
1261827776001,"Maickel Melamed terminó maratón de Nueva York",10150165,2011-11-07,34288301.0
1262136497001,"Melamed fue recibido con el himno nacional",4813676,2011-11-07,12009231.0

1262831349001,"Concurso de Cocina Estampas",7658854,2011-11-07,72540420.0
1263105268001,"Juicio a Carlos El Chacal",4409155,2011-11-07,8840557.0
1263841069001,"Argentina descubre pozo petrolero",3168101,2011-11-08,6207575.0
1263995427001,"Chávez tiene fe en el éxito de la refinería de Pernambuco",4608003,2011-11-08,9114819.0
1265047841001,"Escotet anuncia su retiro de la Asociacion Bancaria",8686328,2011-11-08,75655265.0
1265123891001,"Modificaciones a la ley de Arrendamientos",10161826,2011-11-08,20971214.0
1265176857001,"Nasa estudiará asteroide 2005",4904238,2011-11-08,9778914.0
1265507255001,"Shakira recibe su estrella en Hollywood",6563126,2011-11-09,13223470.0
1265507256001,"UE critica jornada electoral en Nicaragua",7124420,2011-11-09,14261646.0
1265507259001,"Bachelet apoya campaña que lucha contra la violencia de género",2987283,2011-11-09,6018342.0
1265507263001,"La Oreja de Van Gogh presenta su nuevo disco",7136711,2011-11-09,14247519.0
1266626072001,"Desfile EPK a benefico del Hospital Ortopédico Infantil",8195689,2011-11-09,48939757.0
1267551173001,"Shakira galardonada como Persona del Año",5995784,2011-11-10,11924508.0
1268549492001,"El Aissami se pronuncia ante el secuestro de Wilson Ramos",4743068,2011-11-10,11114480.0
1268557174001,"Loa archivos de Pedro Almodóvar",3474036,2011-11-10,6839142.0
1268728570001,"Desfile Victoria Secret´s",4424117,2011-11-10,8866267.0
